experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,batching_mode,batching_window,block_length
batching_comparison,batching_comparison,48d697dc0213,10,,normalized_plugin_block_mutual_information,0.061599593511885514,bits_per_symbol,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,8f3533c1f3e3,10,,normalized_plugin_block_mutual_information,0.14572774760445983,bits_per_symbol,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,659ba1e32f03,10,,normalized_plugin_block_mutual_information,0.3504347032676503,bits_per_symbol,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,42613705681c,10,,normalized_plugin_block_mutual_information,0.652502430872314,bits_per_symbol,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,48d697dc0213,10,,plugin_block_mutual_information,0.061599593511885514,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,8f3533c1f3e3,10,,plugin_block_mutual_information,0.29145549520891967,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,659ba1e32f03,10,,plugin_block_mutual_information,1.051304109802951,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,42613705681c,10,,plugin_block_mutual_information,2.610009723489256,bits_per_block,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,523e80135b4e,10,,symbol_mutual_information,0.061599593511885514,bits_per_symbol,empirical_stateful,complete,,,,ceiling_release,0.5,
batching_comparison,batching_comparison,7f95412cc242,10,,zero_delay_probability,0.6276276276276276,probability,exact,complete,,,,ceiling_release,0.5,
batching_comparison,batching_comparison,1f0a10f2b9f1,11,,batch_size_mean,3.141509433962264,packets,exact,complete,,,,ceiling_release,1.0,
batching_comparison,batching_comparison,1f0a10f2b9f1,11,,memoryless_approximation_error,0.006009019645930216,bits_per_symbol,exact,complete,,,,ceiling_release,1.0,
batching_comparison,batching_comparison,24d9dcf82868,11,,normalized_plugin_block_mutual_information,0.0555905738659553,bits_per_symbol,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,66382296f3b6,11,,normalized_plugin_block_mutual_information,0.09207258466354824,bits_per_symbol,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,86f4aff5787d,11,,normalized_plugin_block_mutual_information,0.19088892325407802,bits_per_symbol,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,9c7b99fe1324,11,,normalized_plugin_block_mutual_information,0.427085062597209,bits_per_symbol,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,24d9dcf82868,11,,plugin_block_mutual_information,0.0555905738659553,bits_per_block,plugin_block,complete,,,,,,1.0
batching_comparison,batching_comparison,66382296f3b6,11,,plugin_block_mutual_information,0.1841451693270965,bits_per_block,plugin_block,complete,,,,,,2.0
batching_comparison,batching_comparison,86f4aff5787d,11,,plugin_block_mutual_information,0.5726667697622341,bits_per_block,plugin_block,complete,,,,,,3.0
batching_comparison,batching_comparison,9c7b99fe1324,11,,plugin_block_mutual_information,1.708340250388836,bits_per_block,plugin_block,complete,,,,,,4.0
batching_comparison,batching_comparison,ec8a871acdbe,11,,symbol_mutual_information,0.0555905738659553,bits_per_symbol,empirical_stateful,complete,,,,ceiling_release,1.0,
batching_comparison,batching_comparison,1f0a10f2b9f1,11,,zero_delay_probability,0.6826826826826827,probability,exact,complete,,,,ceiling_release,1.0,
