experiment_name,experiment_kind,job_id,sweep_index,replication,metric_name,metric_value,units,estimator,status,warning_code,confidence_interval_lower,confidence_interval_upper,max_kl_bits,baseline_mode,grid_resolution,symbol_index
detectability_frontier,detectability_frontier,77a88f46d76b,8,,optimal_input_probability,0.75,probability,exact,complete,,,,0.05,input_distribution,,0.0
detectability_frontier,detectability_frontier,d69f7eb6a408,8,,optimal_input_probability,0.25,probability,exact,complete,,,,0.05,input_distribution,,1.0
detectability_frontier,detectability_frontier,1e95dd1f34d1,8,,optimizer_accepted,1.0,boolean,exact,complete,,,,0.05,input_distribution,,
detectability_frontier,detectability_frontier,1e95dd1f34d1,8,,optimizer_converged,1.0,boolean,exact,complete,,,,0.05,input_distribution,,
detectability_frontier,detectability_frontier,1e95dd1f34d1,8,,optimizer_feasible,1.0,boolean,exact,complete,,,,0.05,input_distribution,,
detectability_frontier,detectability_frontier,5d31ef4b6296,8,,optimizer_grid_difference,0.0,bits_per_symbol,binary_grid_validation,complete,,,,0.05,input_distribution,1001.0,
detectability_frontier,detectability_frontier,1e95dd1f34d1,8,,optimizer_iterations,10001.0,iterations,exact,complete,,,,0.05,input_distribution,,
detectability_frontier,detectability_frontier,3213b7f98b7f,9,,achieved_kl_bits,0.09996817537760112,bits,slsqp,complete,,,,0.1,input_distribution,,
detectability_frontier,detectability_frontier,3213b7f98b7f,9,,constrained_capacity_bits_per_symbol,0.14646983308190095,bits_per_symbol,slsqp,complete,,,,0.1,input_distribution,,
detectability_frontier,detectability_frontier,e27355372edc,9,,grid_best_capacity,0.14640439609962033,bits_per_symbol,binary_grid_validation,complete,,,,0.1,input_distribution,1001.0,
detectability_frontier,detectability_frontier,3213b7f98b7f,9,,mean_delay,0.36039999999999994,normalized_time,slsqp,complete,,,,0.1,input_distribution,,
detectability_frontier,detectability_frontier,ece2127d37ea,9,,optimal_input_probability,0.6396000000000001,probability,exact,complete,,,,0.1,input_distribution,,0.0
detectability_frontier,detectability_frontier,c59df08cc8fc,9,,optimal_input_probability,0.36039999999999994,probability,exact,complete,,,,0.1,input_distribution,,1.0
detectability_frontier,detectability_frontier,4f550c5b7a02,9,,optimizer_accepted,1.0,boolean,exact,complete,,,,0.1,input_distribution,,
detectability_frontier,detectability_frontier,4f550c5b7a02,9,,optimizer_converged,1.0,boolean,exact,complete,,,,0.1,input_distribution,,
detectability_frontier,detectability_frontier,4f550c5b7a02,9,,optimizer_feasible,1.0,boolean,exact,complete,,,,0.1,input_distribution,,
detectability_frontier,detectability_frontier,e27355372edc,9,,optimizer_grid_difference,6.543698228062e-05,bits_per_symbol,binary_grid_validation,complete,,,,0.1,input_distribution,1001.0,
detectability_frontier,detectability_frontier,4f550c5b7a02,9,,optimizer_iterations,10001.0,iterations,exact,complete,,,,0.1,input_distribution,,
detectability_frontier,detectability_frontier,79b920653abc,10,,achieved_kl_bits,0.14994180440675894,bits,slsqp,complete,,,,0.15,input_distribution,,
