work_unit_id,experiment_kind,status,error,replication,batching_mode,batching_window,sweep_index
ideal_delays:0.5:0,batching_comparison,complete,,0,ideal_delays,0.5,1
ideal_delays:0.5:1,batching_comparison,complete,,1,ideal_delays,0.5,21
ideal_delays:0.5:2,batching_comparison,complete,,2,ideal_delays,0.5,41
ideal_delays:0.5:3,batching_comparison,complete,,3,ideal_delays,0.5,61
ideal_delays:0.5:4,batching_comparison,complete,,4,ideal_delays,0.5,81
ideal_delays:0.5:5,batching_comparison,complete,,5,ideal_delays,0.5,101
ideal_delays:0.5:6,batching_comparison,complete,,6,ideal_delays,0.5,121
ideal_delays:0.5:7,batching_comparison,complete,,7,ideal_delays,0.5,141
ideal_delays:0.5:8,batching_comparison,complete,,8,ideal_delays,0.5,161
ideal_delays:0.5:9,batching_comparison,complete,,9,ideal_delays,0.5,181
ideal_delays:0.75:0,batching_comparison,complete,,0,ideal_delays,0.75,2
ideal_delays:0.75:1,batching_comparison,complete,,1,ideal_delays,0.75,22
ideal_delays:0.75:2,batching_comparison,complete,,2,ideal_delays,0.75,42
ideal_delays:0.75:3,batching_comparison,complete,,3,ideal_delays,0.75,62
ideal_delays:0.75:4,batching_comparison,complete,,4,ideal_delays,0.75,82
ideal_delays:0.75:5,batching_comparison,complete,,5,ideal_delays,0.75,102
ideal_delays:0.75:6,batching_comparison,complete,,6,ideal_delays,0.75,122
ideal_delays:0.75:7,batching_comparison,complete,,7,ideal_delays,0.75,142
ideal_delays:0.75:8,batching_comparison,complete,,8,ideal_delays,0.75,162
ideal_delays:0.75:9,batching_comparison,complete,,9,ideal_delays,0.75,182
ideal_delays:1.0:0,batching_comparison,complete,,0,ideal_delays,1.0,3
ideal_delays:1.0:1,batching_comparison,complete,,1,ideal_delays,1.0,23
ideal_delays:1.0:2,batching_comparison,complete,,2,ideal_delays,1.0,43
ideal_delays:1.0:3,batching_comparison,complete,,3,ideal_delays,1.0,63
ideal_delays:1.0:4,batching_comparison,complete,,4,ideal_delays,1.0,83
ideal_delays:1.0:5,batching_comparison,complete,,5,ideal_delays,1.0,103
ideal_delays:1.0:6,batching_comparison,complete,,6,ideal_delays,1.0,123
ideal_delays:1.0:7,batching_comparison,complete,,7,ideal_delays,1.0,143
ideal_delays:1.0:8,batching_comparison,complete,,8,ideal_delays,1.0,163
ideal_delays:1.0:9,batching_comparison,complete,,9,ideal_delays,1.0,183
timestamp_quantization:0.25:0,batching_comparison,complete,,0,timestamp_quantization,0.25,8
timestamp_quantization:0.25:1,batching_comparison,complete,,1,timestamp_quantization,0.25,28
timestamp_quantization:0.25:2,batching_comparison,complete,,2,timestamp_quantization,0.25,48
timestamp_quantization:0.25:3,batching_comparison,complete,,3,timestamp_quantization,0.25,68
timestamp_quantization:0.25:4,batching_comparison,complete,,4,timestamp_quantization,0.25,88
timestamp_quantization:0.25:5,batching_comparison,complete,,5,timestamp_quantization,0.25,108
timestamp_quantization:0.25:6,batching_comparison,complete,,6,timestamp_quantization,0.25,128
