false_positive_rate,true_positive_rate,hypothesis_pair
0.0002,0.1082,active_vs_baseline
0.0002,0.1084,active_vs_baseline
0.0002,0.1086,active_vs_baseline
0.0002,0.1088,active_vs_baseline
0.0002,0.109,active_vs_baseline
0.0002,0.1092,active_vs_baseline
0.0002,0.1094,active_vs_baseline
0.0002,0.1098,active_vs_baseline
0.0002,0.1102,active_vs_baseline
0.0002,0.1104,active_vs_baseline
0.0002,0.1106,active_vs_baseline
0.0002,0.1108,active_vs_baseline
0.0002,0.111,active_vs_baseline
0.0002,0.1114,active_vs_baseline
0.0002,0.1116,active_vs_baseline
0.0002,0.1118,active_vs_baseline
0.0002,0.112,active_vs_baseline
0.0002,0.1122,active_vs_baseline
0.0002,0.1124,active_vs_baseline
0.0002,0.1126,active_vs_baseline
0.0002,0.1128,active_vs_baseline
0.0002,0.113,active_vs_baseline
0.0002,0.1132,active_vs_baseline
0.0002,0.1134,active_vs_baseline
0.0002,0.1136,active_vs_baseline
0.0002,0.1138,active_vs_baseline
0.0002,0.1142,active_vs_baseline
0.0002,0.1144,active_vs_baseline
0.0002,0.1146,active_vs_baseline
0.0002,0.1148,active_vs_baseline
0.0002,0.115,active_vs_baseline
0.0002,0.1154,active_vs_baseline
0.0002,0.1156,active_vs_baseline
0.0002,0.1158,active_vs_baseline
0.0002,0.116,active_vs_baseline
0.0002,0.1162,active_vs_baseline
0.0002,0.1164,active_vs_baseline
0.0002,0.1166,active_vs_baseline
0.0002,0.1168,active_vs_baseline
0.0002,0.117,active_vs_baseline
0.0002,0.1172,active_vs_baseline
0.0002,0.1174,active_vs_baseline
0.0002,0.1176,active_vs_baseline
0.0002,0.1178,active_vs_baseline
0.0002,0.118,active_vs_baseline
0.0002,0.1182,active_vs_baseline
0.0002,0.1184,active_vs_baseline
0.0004,0.1184,active_vs_baseline
0.0004,0.1186,active_vs_baseline
0.0004,0.1188,active_vs_baseline
0.0004,0.119,active_vs_baseline
0.0004,0.1192,active_vs_baseline
0.0004,0.1194,active_vs_baseline
0.0004,0.1196,active_vs_baseline
0.0004,0.1198,active_vs_baseline
0.0004,0.12,active_vs_baseline
0.0004,0.1204,active_vs_baseline
0.0004,0.1206,active_vs_baseline
0.0004,0.1208,active_vs_baseline
0.0004,0.121,active_vs_baseline
0.0004,0.1212,active_vs_baseline
0.0004,0.1214,active_vs_baseline
0.0004,0.1216,active_vs_baseline
0.0004,0.1218,active_vs_baseline
0.0004,0.122,active_vs_baseline
0.0004,0.1222,active_vs_baseline
0.0004,0.1224,active_vs_baseline
0.0004,0.1226,active_vs_baseline
0.0004,0.1228,active_vs_baseline
0.0004,0.123,active_vs_baseline
0.0004,0.1232,active_vs_baseline
0.0004,0.1234,active_vs_baseline
0.0004,0.1236,active_vs_baseline
0.0004,0.1238,active_vs_baseline
0.0004,0.124,active_vs_baseline
0.0004,0.1242,active_vs_baseline
0.0004,0.1244,active_vs_baseline
0.0004,0.1246,active_vs_baseline
0.0004,0.125,active_vs_baseline
0.0004,0.1252,active_vs_baseline
0.0004,0.1254,active_vs_baseline
0.0004,0.1256,active_vs_baseline
0.0004,0.1258,active_vs_baseline
0.0004,0.126,active_vs_baseline
0.0004,0.1262,active_vs_baseline
0.0004,0.1264,active_vs_baseline
0.0004,0.1266,active_vs_baseline
0.0004,0.1268,active_vs_baseline
0.0004,0.127,active_vs_baseline
0.0004,0.1272,active_vs_baseline
0.0004,0.1274,active_vs_baseline
0.0004,0.1276,active_vs_baseline
0.0004,0.1278,active_vs_baseline
0.0004,0.128,active_vs_baseline
0.0004,0.1282,active_vs_baseline
0.0004,0.1284,active_vs_baseline
0.0004,0.1286,active_vs_baseline
0.0004,0.1288,active_vs_baseline
0.0004,0.129,active_vs_baseline
0.0004,0.1292,active_vs_baseline
0.0004,0.1294,active_vs_baseline
0.0004,0.1296,active_vs_baseline
0.0004,0.13,active_vs_baseline
0.0004,0.1302,active_vs_baseline
0.0004,0.1304,active_vs_baseline
0.0004,0.1306,active_vs_baseline
0.0004,0.1308,active_vs_baseline
0.0004,0.131,active_vs_baseline
0.0004,0.1312,active_vs_baseline
0.0004,0.1314,active_vs_baseline
0.0004,0.1316,active_vs_baseline
0.0004,0.1318,active_vs_baseline
0.0004,0.132,active_vs_baseline
0.0004,0.1322,active_vs_baseline
0.0004,0.1324,active_vs_baseline
0.0004,0.1326,active_vs_baseline
0.0004,0.1328,active_vs_baseline
0.0004,0.133,active_vs_baseline
0.0004,0.1332,active_vs_baseline
0.0004,0.1334,active_vs_baseline
0.0004,0.1336,active_vs_baseline
0.0004,0.1338,active_vs_baseline
0.0004,0.134,active_vs_baseline
0.0004,0.1342,active_vs_baseline
0.0004,0.1344,active_vs_baseline
0.0004,0.1348,active_vs_baseline
0.0004,0.135,active_vs_baseline
0.0004,0.1352,active_vs_baseline
0.0004,0.1354,active_vs_baseline
0.0004,0.1356,active_vs_baseline
0.0004,0.1358,active_vs_baseline
0.0004,0.136,active_vs_baseline
0.0004,0.1362,active_vs_baseline
0.0004,0.1364,active_vs_baseline
0.0004,0.1366,active_vs_baseline
0.0004,0.1368,active_vs_baseline
0.0004,0.1372,active_vs_baseline
0.0004,0.1374,active_vs_baseline
0.0004,0.1376,active_vs_baseline
0.0004,0.1378,active_vs_baseline
0.0004,0.1384,active_vs_baseline
0.0004,0.1386,active_vs_baseline
0.0004,0.1388,active_vs_baseline
0.0004,0.139,active_vs_baseline
0.0004,0.1392,active_vs_baseline
0.0004,0.1394,active_vs_baseline
0.0004,0.1396,active_vs_baseline
0.0004,0.1398,active_vs_baseline
0.0004,0.14,active_vs_baseline
0.0004,0.1402,active_vs_baseline
0.0004,0.1404,active_vs_baseline
