false_positive_rate,true_positive_rate,hypothesis_pair
0.046,0.84,active_vs_baseline
0.046,0.842,active_vs_baseline
0.046,0.844,active_vs_baseline
0.048,0.844,active_vs_baseline
0.048,0.846,active_vs_baseline
0.048,0.848,active_vs_baseline
0.05,0.848,active_vs_baseline
0.05,0.85,active_vs_baseline
0.052,0.85,active_vs_baseline
0.052,0.852,active_vs_baseline
0.054,0.852,active_vs_baseline
0.054,0.854,active_vs_baseline
0.054,0.856,active_vs_baseline
0.054,0.858,active_vs_baseline
0.054,0.86,active_vs_baseline
0.056,0.86,active_vs_baseline
0.058,0.86,active_vs_baseline
0.058,0.862,active_vs_baseline
0.058,0.864,active_vs_baseline
0.06,0.864,active_vs_baseline
0.062,0.864,active_vs_baseline
0.062,0.866,active_vs_baseline
0.062,0.868,active_vs_baseline
0.064,0.868,active_vs_baseline
0.064,0.87,active_vs_baseline
0.064,0.872,active_vs_baseline
0.064,0.874,active_vs_baseline
0.064,0.876,active_vs_baseline
0.064,0.878,active_vs_baseline
0.064,0.88,active_vs_baseline
0.066,0.88,active_vs_baseline
0.066,0.882,active_vs_baseline
0.068,0.882,active_vs_baseline
0.07,0.882,active_vs_baseline
0.072,0.882,active_vs_baseline
0.074,0.882,active_vs_baseline
0.074,0.884,active_vs_baseline
0.074,0.886,active_vs_baseline
0.076,0.886,active_vs_baseline
0.078,0.886,active_vs_baseline
0.08,0.886,active_vs_baseline
0.082,0.886,active_vs_baseline
0.082,0.888,active_vs_baseline
0.084,0.888,active_vs_baseline
0.084,0.89,active_vs_baseline
0.084,0.892,active_vs_baseline
0.084,0.894,active_vs_baseline
0.086,0.894,active_vs_baseline
0.088,0.894,active_vs_baseline
0.088,0.896,active_vs_baseline
0.088,0.898,active_vs_baseline
0.088,0.9,active_vs_baseline
0.088,0.902,active_vs_baseline
0.088,0.904,active_vs_baseline
0.088,0.906,active_vs_baseline
0.09,0.906,active_vs_baseline
0.092,0.906,active_vs_baseline
0.096,0.906,active_vs_baseline
0.096,0.908,active_vs_baseline
0.096,0.91,active_vs_baseline
0.098,0.91,active_vs_baseline
0.1,0.91,active_vs_baseline
0.102,0.91,active_vs_baseline
0.104,0.91,active_vs_baseline
0.104,0.912,active_vs_baseline
0.104,0.914,active_vs_baseline
0.106,0.914,active_vs_baseline
0.106,0.916,active_vs_baseline
0.106,0.918,active_vs_baseline
0.108,0.918,active_vs_baseline
0.108,0.92,active_vs_baseline
0.11,0.92,active_vs_baseline
0.112,0.92,active_vs_baseline
0.114,0.92,active_vs_baseline
0.116,0.92,active_vs_baseline
0.116,0.922,active_vs_baseline
0.118,0.922,active_vs_baseline
0.12,0.922,active_vs_baseline
0.122,0.922,active_vs_baseline
0.122,0.924,active_vs_baseline
0.124,0.924,active_vs_baseline
0.124,0.926,active_vs_baseline
0.126,0.926,active_vs_baseline
0.126,0.928,active_vs_baseline
0.128,0.928,active_vs_baseline
0.13,0.928,active_vs_baseline
0.132,0.928,active_vs_baseline
0.132,0.93,active_vs_baseline
0.134,0.93,active_vs_baseline
0.134,0.932,active_vs_baseline
0.136,0.932,active_vs_baseline
0.138,0.932,active_vs_baseline
0.14,0.932,active_vs_baseline
0.14,0.934,active_vs_baseline
0.142,0.934,active_vs_baseline
0.142,0.936,active_vs_baseline
0.142,0.938,active_vs_baseline
0.144,0.938,active_vs_baseline
0.144,0.942,active_vs_baseline
0.144,0.944,active_vs_baseline
0.146,0.944,active_vs_baseline
0.148,0.944,active_vs_baseline
0.15,0.944,active_vs_baseline
0.152,0.944,active_vs_baseline
0.154,0.944,active_vs_baseline
0.156,0.944,active_vs_baseline
0.156,0.946,active_vs_baseline
0.158,0.946,active_vs_baseline
0.16,0.946,active_vs_baseline
0.162,0.946,active_vs_baseline
0.162,0.948,active_vs_baseline
0.164,0.948,active_vs_baseline
0.166,0.948,active_vs_baseline
0.168,0.948,active_vs_baseline
0.168,0.95,active_vs_baseline
0.17,0.95,active_vs_baseline
0.17,0.952,active_vs_baseline
0.172,0.952,active_vs_baseline
0.174,0.952,active_vs_baseline
0.176,0.952,active_vs_baseline
0.176,0.954,active_vs_baseline
0.178,0.954,active_vs_baseline
0.178,0.956,active_vs_baseline
0.18,0.956,active_vs_baseline
0.182,0.956,active_vs_baseline
0.184,0.956,active_vs_baseline
0.186,0.956,active_vs_baseline
0.188,0.956,active_vs_baseline
0.19,0.956,active_vs_baseline
0.192,0.956,active_vs_baseline
0.192,0.958,active_vs_baseline
0.194,0.958,active_vs_baseline
0.196,0.958,active_vs_baseline
0.198,0.958,active_vs_baseline
0.2,0.958,active_vs_baseline
0.202,0.958,active_vs_baseline
0.204,0.958,active_vs_baseline
0.206,0.958,active_vs_baseline
0.208,0.958,active_vs_baseline
0.208,0.96,active_vs_baseline
0.21,0.96,active_vs_baseline
0.212,0.96,active_vs_baseline
0.212,0.962,active_vs_baseline
0.214,0.962,active_vs_baseline
0.216,0.962,active_vs_baseline
0.218,0.962,active_vs_baseline
0.22,0.962,active_vs_baseline
0.222,0.962,active_vs_baseline
0.224,0.962,active_vs_baseline
0.226,0.962,active_vs_baseline
0.228,0.962,active_vs_baseline
0.23,0.962,active_vs_baseline
0.232,0.962,active_vs_baseline
0.234,0.962,active_vs_baseline
0.236,0.962,active_vs_baseline
0.238,0.962,active_vs_baseline
0.238,0.964,active_vs_baseline
0.238,0.966,active_vs_baseline
0.24,0.966,active_vs_baseline
0.242,0.966,active_vs_baseline
0.244,0.966,active_vs_baseline
0.246,0.966,active_vs_baseline
0.248,0.966,active_vs_baseline
0.25,0.966,active_vs_baseline
0.252,0.966,active_vs_baseline
0.254,0.966,active_vs_baseline
0.256,0.966,active_vs_baseline
0.258,0.966,active_vs_baseline
0.26,0.966,active_vs_baseline
0.26,0.968,active_vs_baseline
0.262,0.968,active_vs_baseline
0.264,0.968,active_vs_baseline
0.266,0.968,active_vs_baseline
0.268,0.968,active_vs_baseline
0.268,0.97,active_vs_baseline
0.268,0.972,active_vs_baseline
0.27,0.972,active_vs_baseline
0.272,0.972,active_vs_baseline
0.274,0.972,active_vs_baseline
0.276,0.972,active_vs_baseline
0.278,0.972,active_vs_baseline
0.28,0.972,active_vs_baseline
0.282,0.972,active_vs_baseline
0.282,0.974,active_vs_baseline
0.282,0.976,active_vs_baseline
0.284,0.976,active_vs_baseline
0.284,0.978,active_vs_baseline
0.286,0.978,active_vs_baseline
0.288,0.978,active_vs_baseline
0.29,0.978,active_vs_baseline
0.292,0.978,active_vs_baseline
0.294,0.978,active_vs_baseline
0.296,0.978,active_vs_baseline
0.298,0.978,active_vs_baseline
0.3,0.978,active_vs_baseline
0.3,0.98,active_vs_baseline
0.302,0.98,active_vs_baseline
0.304,0.98,active_vs_baseline
0.306,0.98,active_vs_baseline
0.308,0.98,active_vs_baseline
0.31,0.98,active_vs_baseline
0.312,0.98,active_vs_baseline
0.314,0.98,active_vs_baseline
0.316,0.98,active_vs_baseline
0.318,0.982,active_vs_baseline
0.32,0.982,active_vs_baseline
0.322,0.982,active_vs_baseline
0.324,0.982,active_vs_baseline
0.326,0.982,active_vs_baseline
0.328,0.982,active_vs_baseline
0.33,0.982,active_vs_baseline
0.332,0.982,active_vs_baseline
0.334,0.982,active_vs_baseline
0.336,0.982,active_vs_baseline
0.338,0.982,active_vs_baseline
0.34,0.982,active_vs_baseline
0.342,0.982,active_vs_baseline
0.344,0.982,active_vs_baseline
0.346,0.982,active_vs_baseline
0.346,0.984,active_vs_baseline
0.348,0.984,active_vs_baseline
0.35,0.984,active_vs_baseline
0.352,0.984,active_vs_baseline
0.354,0.984,active_vs_baseline
0.356,0.984,active_vs_baseline
0.358,0.984,active_vs_baseline
0.36,0.984,active_vs_baseline
0.362,0.984,active_vs_baseline
0.364,0.984,active_vs_baseline
0.366,0.984,active_vs_baseline
0.368,0.984,active_vs_baseline
0.37,0.984,active_vs_baseline
0.372,0.984,active_vs_baseline
0.374,0.984,active_vs_baseline
0.376,0.984,active_vs_baseline
0.378,0.984,active_vs_baseline
0.38,0.984,active_vs_baseline
0.384,0.984,active_vs_baseline
0.386,0.984,active_vs_baseline
0.388,0.984,active_vs_baseline
0.39,0.984,active_vs_baseline
0.392,0.984,active_vs_baseline
0.394,0.984,active_vs_baseline
0.396,0.984,active_vs_baseline
0.398,0.984,active_vs_baseline
0.4,0.984,active_vs_baseline
0.402,0.984,active_vs_baseline
0.404,0.984,active_vs_baseline
0.404,0.986,active_vs_baseline
0.404,0.988,active_vs_baseline
0.406,0.988,active_vs_baseline
0.406,0.99,active_vs_baseline
0.408,0.99,active_vs_baseline
0.41,0.99,active_vs_baseline
0.412,0.99,active_vs_baseline
0.414,0.99,active_vs_baseline
0.416,0.99,active_vs_baseline
0.418,0.99,active_vs_baseline
0.42,0.99,active_vs_baseline
0.422,0.99,active_vs_baseline
0.424,0.99,active_vs_baseline
0.426,0.99,active_vs_baseline
0.428,0.99,active_vs_baseline
0.43,0.99,active_vs_baseline
0.432,0.99,active_vs_baseline
0.434,0.99,active_vs_baseline
0.436,0.99,active_vs_baseline
0.438,0.99,active_vs_baseline
0.44,0.99,active_vs_baseline
0.442,0.99,active_vs_baseline
0.444,0.99,active_vs_baseline
0.446,0.99,active_vs_baseline
0.448,0.99,active_vs_baseline
0.45,0.99,active_vs_baseline
0.452,0.99,active_vs_baseline
0.454,0.99,active_vs_baseline
0.456,0.99,active_vs_baseline
0.458,0.99,active_vs_baseline
0.46,0.99,active_vs_baseline
0.462,0.99,active_vs_baseline
0.464,0.99,active_vs_baseline
0.466,0.99,active_vs_baseline
0.468,0.99,active_vs_baseline
0.47,0.99,active_vs_baseline
0.472,0.99,active_vs_baseline
0.474,0.99,active_vs_baseline
0.476,0.99,active_vs_baseline
0.478,0.99,active_vs_baseline
0.48,0.99,active_vs_baseline
0.482,0.99,active_vs_baseline
0.484,0.99,active_vs_baseline
0.486,0.99,active_vs_baseline
0.488,0.99,active_vs_baseline
0.49,0.992,active_vs_baseline
0.492,0.992,active_vs_baseline
0.494,0.992,active_vs_baseline
0.496,0.992,active_vs_baseline
0.498,0.992,active_vs_baseline
0.5,0.992,active_vs_baseline
0.502,0.992,active_vs_baseline
0.504,0.992,active_vs_baseline
0.506,0.992,active_vs_baseline
0.508,0.992,active_vs_baseline
0.508,0.994,active_vs_baseline
0.51,0.994,active_vs_baseline
0.512,0.994,active_vs_baseline
0.514,0.994,active_vs_baseline
0.516,0.994,active_vs_baseline
0.518,0.994,active_vs_baseline
0.52,0.994,active_vs_baseline
0.522,0.994,active_vs_baseline
0.524,0.994,active_vs_baseline
0.526,0.994,active_vs_baseline
0.528,0.994,active_vs_baseline
0.53,0.994,active_vs_baseline
0.532,0.994,active_vs_baseline
0.534,0.994,active_vs_baseline
0.536,0.994,active_vs_baseline
0.538,0.994,active_vs_baseline
0.54,0.994,active_vs_baseline
0.542,0.994,active_vs_baseline
0.544,0.994,active_vs_baseline
0.546,0.994,active_vs_baseline
0.548,0.994,active_vs_baseline
0.55,0.994,active_vs_baseline
0.552,0.994,active_vs_baseline
0.554,0.994,active_vs_baseline
0.556,0.994,active_vs_baseline
0.558,0.994,active_vs_baseline
0.56,0.994,active_vs_baseline
0.562,0.994,active_vs_baseline
0.562,0.996,active_vs_baseline
0.564,0.996,active_vs_baseline
0.566,0.996,active_vs_baseline
0.568,0.996,active_vs_baseline
0.57,0.996,active_vs_baseline
0.572,0.996,active_vs_baseline
0.576,0.996,active_vs_baseline
0.578,0.996,active_vs_baseline
0.58,0.996,active_vs_baseline
0.582,0.996,active_vs_baseline
0.584,0.996,active_vs_baseline
0.586,0.996,active_vs_baseline
0.586,0.998,active_vs_baseline
0.588,0.998,active_vs_baseline
0.59,0.998,active_vs_baseline
0.592,0.998,active_vs_baseline
0.594,0.998,active_vs_baseline
0.596,0.998,active_vs_baseline
0.598,0.998,active_vs_baseline
0.6,0.998,active_vs_baseline
0.602,0.998,active_vs_baseline
0.604,0.998,active_vs_baseline
0.606,0.998,active_vs_baseline
0.608,0.998,active_vs_baseline
0.61,0.998,active_vs_baseline
0.612,0.998,active_vs_baseline
